GeneSymbol,ChemicalName,Organism,Interaction,InteractionActions,PubMedIDs,ChemicalID
CDKN1B,NVP-BKM120,Homo sapiens,[NVP-BKM120 co-treated with Arsenic Trioxide] results in increased expression of CDKN1B mRNA,affects^cotreatment|increases^expression,31539632,C571178
CDKN1B,O(6)-benzylguanine,Homo sapiens,[Temozolomide co-treated with O(6)-benzylguanine] results in decreased expression of CDKN1B protein,affects^cotreatment|decreases^expression,20980775,C064976
CDKN1B,ochratoxin A,Homo sapiens,[Citrinin co-treated with ochratoxin A] results in decreased expression of CDKN1B mRNA,affects^cotreatment|decreases^expression,30428381,C025589
CDKN1B,ochratoxin A,Homo sapiens,[Citrinin co-treated with ochratoxin A] results in increased expression of CDKN1B mRNA,affects^cotreatment|increases^expression,30428381,C025589
CDKN1B,ochratoxin A,Homo sapiens,ochratoxin A results in decreased expression of CDKN1B mRNA,decreases^expression,30763683,C025589
CDKN1B,ochratoxin A,Homo sapiens,ochratoxin A results in increased expression of CDKN1B mRNA,increases^expression,30428381,C025589
CDKN1B,Oleanolic Acid,Homo sapiens,Oleanolic Acid results in decreased expression of CDKN1B protein,decreases^expression,38513930,D009828
CDKN1B,Organotin Compounds,Homo sapiens,Organotin Compounds results in increased expression of CDKN1B protein,increases^expression,32525019,D009947
CDKN1B,Orlistat,Homo sapiens,Orlistat results in increased expression of CDKN1B protein,increases^expression,15138278,D000077403
CDKN1B,Oxaliplatin,Homo sapiens,Oxaliplatin results in increased expression of CDKN1B protein,increases^expression,15204521,D000077150
CDKN1B,Oxygen,Homo sapiens,Oxygen deficiency results in increased expression of CDKN1B mRNA,increases^expression,17914565,D010100
CDKN1B,P61-E7 compound,Homo sapiens,P61-E7 compound results in increased expression of and results in decreased phosphorylation of CDKN1B protein,decreases^phosphorylation|increases^expression,22028818,C570200
CDKN1B,P61-E7 compound,Homo sapiens,RHOA protein affects the reaction [P61-E7 compound results in increased expression of CDKN1B protein],affects^reaction|increases^expression,22028818,C570200
CDKN1B,Paclitaxel,Homo sapiens,[Paclitaxel co-treated with Metformin] results in increased expression of CDKN1B mRNA,affects^cotreatment|increases^expression,29309887,D017239
CDKN1B,palbociclib,Homo sapiens,palbociclib promotes the reaction [CCND1 protein binds to CDKN1B protein binds to CDK4 protein],affects^binding|increases^reaction,20473330,C500026
CDKN1B,palbociclib,Homo sapiens,palbociclib results in decreased expression of CDKN1B protein,decreases^expression,17537993,C500026
CDKN1B,palbociclib,Homo sapiens,palbociclib results in increased expression of CDKN1B mRNA,increases^expression,17537993,C500026
CDKN1B,palbociclib,Homo sapiens,palbociclib results in increased expression of CDKN1B protein,increases^expression,20473330,C500026
CDKN1B,Palmitic Acid,Homo sapiens,Palmitic Acid results in decreased phosphorylation of CDKN1B protein,decreases^phosphorylation,28073184,D019308
CDKN1B,panduratin A,Homo sapiens,panduratin A results in increased expression of CDKN1B mRNA,increases^expression,16497706,C482884
CDKN1B,panduratin A,Homo sapiens,panduratin A results in increased expression of CDKN1B protein,increases^expression,16497706,C482884
CDKN1B,Panobinostat,Homo sapiens,Panobinostat results in increased expression of CDKN1B protein,increases^expression,18445700,D000077767
CDKN1B,Particulate Matter,Homo sapiens,Particulate Matter results in increased expression of CDKN1B mRNA,increases^expression,23454527|29703138,D052638
CDKN1B,perfluorooctane sulfonic acid,Homo sapiens,perfluorooctane sulfonic acid results in decreased expression of CDKN1B protein,decreases^expression,29063134|32700164,C076994
CDKN1B,perfluorooctanoic acid,Homo sapiens,perfluorooctanoic acid results in decreased expression of CDKN1B protein,decreases^expression,29502166,C023036
CDKN1B,perillyl alcohol,Homo sapiens,CDKN1B protein results in increased susceptibility to perillyl alcohol,increases^response to substance,17138864,C032208
CDKN1B,perillyl alcohol,Homo sapiens,perillyl alcohol promotes the reaction [CDKN1B protein binds to and results in decreased activity of CDK2 protein],affects^binding|decreases^activity|increases^reaction,17138864,C032208
CDKN1B,perillyl alcohol,Homo sapiens,perillyl alcohol results in increased expression of CDKN1B protein,increases^expression,17138864,C032208
CDKN1B,Phosphatidylcholines,Homo sapiens,[rubitecan co-treated with Phosphatidylcholines] results in increased expression of CDKN1B protein,affects^cotreatment|increases^expression,21695227,D010713
CDKN1B,Phytic Acid,Homo sapiens,Phytic Acid results in decreased expression of CDKN1B protein,decreases^expression,15868430,D010833
CDKN1B,picoxystrobin,Homo sapiens,picoxystrobin results in decreased expression of CDKN1B mRNA,decreases^expression,33512557,C556557
CDKN1B,pinostrobin,Homo sapiens,pinostrobin results in increased expression of CDKN1B protein,increases^expression,37777166,C411294
CDKN1B,Pioglitazone,Homo sapiens,Pioglitazone inhibits the reaction [[PDGFB protein binds to PDGFB protein] which results in increased degradation of CDKN1B protein],affects^binding|decreases^reaction|increases^degradation,26643070,D000077205
CDKN1B,Pioglitazone,Homo sapiens,Pioglitazone results in increased expression of CDKN1B protein,increases^expression,26643070,D000077205
CDKN1B,Pioglitazone,Homo sapiens,PRKAA1 protein affects the reaction [Pioglitazone results in increased expression of CDKN1B protein],affects^reaction|increases^expression,26643070,D000077205
CDKN1B,Plant Extracts,Homo sapiens,[Plant Extracts co-treated with Resveratrol] results in increased expression of CDKN1B mRNA,affects^cotreatment|increases^expression,23557933,D010936
CDKN1B,Plant Extracts,Homo sapiens,Plant Extracts results in decreased degradation of CDKN1B protein,decreases^degradation,24095829,D010936
CDKN1B,Plant Extracts,Homo sapiens,Plant Extracts results in increased expression of CDKN1B protein,increases^expression,26122529,D010936
