Name,SMILES,Total Molweight,cLogP,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Rotatable Bonds,Senotherapeutics:
"phorbol-12,13-didecanoate",CCCCCCCCCC(=O)OC1C(C2(C(C=C(CC3(C2C=C(C3=O)C)O)CO)C4C1(C4(C)C)OC(=O)CCCCCCCCC)O)C,672.94,8.2961,8,3,526.6,0.1869,21,1
phorbol-12-myristate,CCCCCCCCCCCCCC(=O)OC1C(C2(C(C=C(CC3(C2C=C(C3=O)C)O)CO)C4C1(C4(C)C)O)O)C,574.796,5.9939,7,4,437.9,0.20206,15,1
phosphoramidon,CC1C(C(C(C(O1)OP(=O)(NC(CC(C)C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O)O)O)O)O,543.508,-2.0425,13,8,382.17,0.43308,10,1
picrasidine I,COC1=CN=C(C2=C1C3=C(N2)C(=CC=C3)O)C=C,240.261,2.3562,4,2,183.94,0.26128,2,1
pimobendan,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC,334.378,2.8555,6,2,255.41,0.27787,3,1
piperlongumine,COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC=CC2=O,317.34,1.7755,6,0,252.86,0.23582,5,1
pirarubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)OC6CCCCO6,627.641,1.4885,13,5,436.2,0.35945,7,1
plantamajoside,C1=CC(=C(C=C1CCOC2C(C(C(C(O2)CO)OC(=O)C=CC3=CC(=C(C=C3)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,640.589,-1.307,16,10,443.81,0.43721,12,1
plastochromanol 8,CC1=C(C=C2CCC(OC2=C1C)(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O,751.232,20.567,2,1,679.0,0.034021,24,1
platycodin D,CC1C(C(C(C(O1)OC2C(C(COC2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4O)C)(CCC7C6(CC(C(C7(CO)CO)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)(C)C)O)O)O)O)OC9C(C(C(CO9)O)OC1C(C(CO1)(CO)O)O)O,1225.33,-4.0647,28,17,806.74,0.41617,15,1
plitidepsin,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,1110.35,2.49,22,4,850.44,0.27647,15,1
pomalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,273.247,-0.5679,7,2,187.56,0.43954,1,1
pomiferin,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC(=C(C=C4)O)O)C=CC(O2)(C)C)C,420.46,4.6764,6,3,311.95,0.2319,3,1
poncirin,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)OC)O)CO)O)O)O)O)O,594.564,-0.4683,14,7,404.26,0.40751,7,1
praeruptorin A,CC=C(C)C(=O)OC1C(C2=C(C=CC3=C2OC(=O)C=C3)OC1(C)C)OC(=O)C,386.399,3.342,7,0,287.43,0.27527,5,1
prexasertib,COC1=C(C(=CC=C1)OCCCN)C2=CC(=NN2)NC3=NC=C(N=C3)C#N,365.396,0.8206,9,3,293.86,0.36477,8,1
primycin,CCCCC1C(C(CCC(CCCC(CCCC(C(=CC(C(CC(CC(CC(CC(CCCCC(=CC(C(OC1=O)C(C)C(CCCN=C(N)N)O)C)C)O)O)O)O)O)OC2C(C(C(O2)CO)O)O)C)O)O)O)C)O,1078.43,5.3441,20,15,846.27,0.30178,12,1
procyanidin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC4(C(C(C5=C(C=C(C=C5O4)O)O)O)O)C6=CC(=C(C=C6)O)O,594.523,2.7421,13,10,393.21,0.40945,4,1
procyanidin B1,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,578.524,2.3016,12,10,385.3,0.3919,3,1
procyanidin B2,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,578.524,2.3016,12,10,385.3,0.3919,3,1
protoporphyrin IX,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C,562.668,5.1545,8,4,435.19,0.23151,8,1
protoporphyrinogen,CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)CCC(=O)O)C)C=C)C)C=C)C,568.716,5.2422,8,6,453.72,0.23856,8,1
ptaquiloside,CC1CC2(C=C(C3(CC3)C(C2C1=O)(C)O)C)OC4C(C(C(C(O4)CO)O)O)O,398.45,-0.5419,8,5,264.26,0.37289,3,1
puerarin,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O,416.381,-0.4408,9,6,282.84,0.39471,3,1
pycnidione,CC1=C2CC3CC(C4(C(CC5=C(C=C(C(=O)C=C5O4)O)C)CC(C=CCC3(OC2=CC(=O)C(=C1)O)C)(C)C)C)O,548.674,4.8081,7,3,402.82,0.21196,0,1
"pyridoxal phosphate-6-azophenyl-2',4'-disulfonic acid",CC1=C(C(=C(C(=N1)N=NC2=C(C=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)COP(=O)(O)O)C=O)O,511.38,-5.1019,15,5,323.04,0.60893,8,1
quercetin 3-O-glucuronide,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,478.361,-0.6965,13,8,307.74,0.52278,4,1
quercitrin,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,448.379,0.5798,11,7,295.9,0.45536,3,1
quizartinib,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3,560.677,4.7979,10,2,423.0,0.29284,8,1
ralimetinib,CC(C)(C)CN1C2=C(C=CC(=N2)C3=C(N=C(N3)C(C)(C)C)C4=CC=C(C=C4)F)N=C1N,420.534,5.1845,6,2,325.44,0.21214,5,1
raltitrexed,CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)NC(CCC(=O)O)C(=O)O)C(=O)N1,458.494,0.7203,10,4,333.65,0.40971,9,1
ravoxertinib,CN1C(=CC=N1)NC2=NC=CC(=N2)C3=CC(=O)N(C=C3)C(CO)C4=CC(=C(C=C4)Cl)F,440.865,1.4328,8,2,322.12,0.25124,6,1
rebamipide,C1=CC=C2C(=C1)C(=CC(=O)N2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl,370.791,1.6962,6,3,268.43,0.27992,5,1
remdesivir,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,602.583,0.3048,14,4,442.93,0.37577,13,1
resiniferatoxin,CC1CC2(C3C4C1(C5C=C(C(=O)C5(CC(=C4)COC(=O)CC6=CC(=C(C=C6)O)OC)O)C)OC(O3)(O2)CC7=CC=CC=C7)C(=C)C,628.716,5.4099,9,2,445.37,0.22965,9,1
resiquimod,CCOCC1=NC2=C(N1CC(C)(C)O)C3=CC=CC=C3N=C2N,314.388,1.5777,6,2,242.52,0.27701,5,1
retrorsine,CC=C1CC(C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(CO)O)C,351.398,0.8397,7,2,255.91,0.29632,1,1
ridaforolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OP(=O)(C)C)C)C)O)OC)C)C)C)OC,990.217,7.1633,15,2,768.85,0.22367,8,1
riddelliine,CC=C1CC(=C)C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(CO)O,349.382,1.0423,7,2,253.9,0.29866,1,1
romidepsin,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,540.704,2.0917,10,4,408.62,0.38182,2,1
rosavin,C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC=CC3=CC=CC=C3)O)O)O)O)O)O,428.432,-1.2487,10,6,304.64,0.38931,7,1
rottlerin,CC1=C(C(=C(C(=C1O)C(=O)C)O)CC2=C(C(=C3C(=C2O)C=CC(O3)(C)C)C(=O)C=CC4=CC=CC=C4)O)O,516.544,4.633,8,5,382.74,0.2654,6,1
rubitecan,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5[N+](=O)[O-])N=C4C3=C2)O,393.354,0.2622,9,1,263.52,0.35716,2,1
