compound_name,canonical_smiles,molecule_chembl_id,warning_class,warning_type,Total Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,Senotherapeutic,DataSet,Senotherapeutic
BENZIODARONE,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,CHEMBL232201,hepatotoxicity,Withdrawn,518.079,517.887591,4.5832,-7.138,3,1,259.99,0.15481,50.44,1.227,0.5,0.48468,0.86954,1,22,5,0,5,0,3,3,15,3,3,3,2,1,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
BROMFENAC SODIUM,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],CHEMBL3181947,hepatotoxicity,Withdrawn,766.345,333.000055,2.3207,-4.604,4,2,215.78,0.25234,80.39,-2.66,0.6,0.57657,0.76523,7,20,5,0,5,0,4,2,12,2,2,2,2,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,1,0,NoSenotherapeutic,0
ISAXONINE PHOSPHATE,CC(C)Nc1ncccn1.O=P(O)(O)O,CHEMBL1697751,hepatotoxicity,Withdrawn,235.179,137.095297,0.8785,-1.621,3,1,119.26,0.28006,37.81,0.80345,0.7,0.40509,0.55452,2,10,3,0,3,0,2,1,6,3,3,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,NoSenotherapeutic,0
LUMIRACOXIB,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,CHEMBL404108,hepatotoxicity,Withdrawn,293.724,293.061884,3.7239,-4.566,3,2,216.37,0.17378,49.33,-2.0597,0.5,0.52068,0.75973,1,20,5,0,5,0,4,2,12,3,0,2,2,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,1,0,NoSenotherapeutic,0
MEBANAZINE,CC(NN)c1ccccc1,CHEMBL1909283,hepatotoxicity,Withdrawn,136.197,136.100048,0.1871,-1.924,2,2,118,0.22653,38.05,-2.8942,0.7,0.55732,0.55452,1,10,2,0,2,1,2,1,6,4,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
NOMIFENSINE MALEATE,CN1Cc2c(N)cccc2C(c2ccccc2)C1.O=C(O)/C=C\C(=O)O,CHEMBL1256842,hepatotoxicity,Withdrawn,354.405,238.146998,1.6448,-2.704,2,1,190.62,0.09873,29.26,4.3591,0.5,0.30217,0.77994,2,18,2,0,2,1,1,3,12,5,2,3,2,1,1,1,2,0,0,2,1,1,0,0,2,1,1,0,1,0,0,NoSenotherapeutic,0
TICRYNAFEN,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,CHEMBL267744,hepatotoxicity,Withdrawn,331.175,329.952034,2.9282,-4.991,4,1,225.41,0.3085,91.84,2.3512,0.6,0.36212,0.80446,1,20,7,0,7,0,5,2,11,3,0,2,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,NoSenotherapeutic,0
TOLRESTAT,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,CHEMBL436,hepatotoxicity,Withdrawn,357.351,357.064648,3.1655,-3.366,4,1,252.71,0.26786,81.86,-8.0003,0.5,0.46287,0.8293,1,24,8,0,8,0,5,2,10,7,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,NoSenotherapeutic,0
CHLORMEZANONE,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,CHEMBL1200714,hepatotoxicity,Withdrawn,273.739,273.022641,1.1128,-2.05,4,0,184.09,0.24537,62.83,0.73005,0.52941,0.35958,0.78235,1,17,6,0,6,1,1,2,6,5,3,2,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,NoSenotherapeutic,0
ALPIDEM,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,CHEMBL54349,hepatotoxicity,Withdrawn,404.34,403.121816,5.0431,-6.919,4,0,309.24,0.11483,37.61,4.4691,0.48148,0.53987,0.86725,1,27,6,0,6,0,7,3,15,7,5,3,1,2,0,0,3,0,0,1,0,0,2,1,0,0,0,2,1,0,0,NoSenotherapeutic,0
BENDAZAC,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,CHEMBL1089221,hepatotoxicity,Withdrawn,282.298,282.100443,1.8077,-2.992,5,1,217.2,0.24853,64.35,2.72,0.57143,0.38315,0.78648,1,21,5,0,5,0,5,3,15,4,2,3,2,1,0,0,3,0,0,2,0,0,1,0,0,0,0,2,0,1,0,NoSenotherapeutic,0
CYCLOFENIL,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,CHEMBL141305,hepatotoxicity,Withdrawn,364.44,364.16746,4.3213,-5.349,4,0,291.26,0.15821,52.6,-6.1848,0.55556,0.44165,0.79924,1,27,4,0,4,0,6,3,12,9,14,3,3,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
EXIFONE,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,CHEMBL329522,hepatotoxicity,Withdrawn,278.215,278.042655,0.7154,-1.94,7,6,188.87,0.4852,138.45,-1.0702,0.55,0.52591,0.72323,1,20,7,0,7,0,2,2,12,6,3,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL157101,hepatotoxicity,Withdrawn,531.438,530.14876,3.3639,-2.995,8,0,384.42,0.17684,69.06,8.14,0.55556,0.45571,0.86492,1,36,10,0,10,2,7,5,17,13,4,5,2,3,2,2,3,0,0,2,2,2,1,1,1,0,1,2,1,0,0,NoSenotherapeutic,0
