Name,SMILES,Interacts with,Interaction,InteractionActions,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens
ST 1481,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC=CC=C5N=C4C3=C2)C=NOC(C)(C)C)O,TP53,ST 1481 affects the activity of TP53 protein,affects^activity,447.49,447.49,447.179422,3.088,-4.231,8,1,321.8,0.26479,101.32,-2.2795,none,none,none,none,0.42424,0.24284,1.0077,1,33,8,0,8,1,4,5,10,12,5,1,4,1,3,2,0,0,1,1,3,1,1,0,0,0,1,0,0
Topotecan,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,TP53,"[N-(oxo-5,6-dihydrophe0thridin-2-yl)-N,N-dimethylacetamide hydrochloride co-treated with Topotecan] promotes the reaction [TP53 protein binds to BAX promoter]",affects^binding|affects^cotreatment|increases^reaction,421.452,421.452,421.163772,0.461,-1.959,8,2,294.78,0.27258,103.2,6.6593,none,none,none,none,0.45161,0.18288,1.0034,1,31,8,0,8,1,3,5,10,12,5,1,4,1,3,2,0,0,1,1,3,1,1,1,1,0,1,1,0
rubitecan,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5[N+](=O)[O-])N=C4C3=C2)O,TP53,Phosphatidylcholines inhibits the reaction [rubitecan results in increased expression of TP53 protein],decreases^reaction|increases^expression,393.354,393.354,393.096087,0.2622,-3.201,9,1,263.52,0.35716,125.55,0.38166,none,none,none,none,0.44828,0.15509,1.013,1,29,9,0,9,1,2,5,10,8,5,1,4,0,3,2,0,0,1,0,3,1,1,0,0,0,1,0,0
9-methoxycamptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5OC)N=C4C3=C2)O,TP53,9-methoxycamptothecin results in increased expression of TP53 mRNA,increases^expression,378.383,378.383,378.121573,1.1138,-2.759,7,1,262.11,0.28118,88.96,5.4215,none,none,none,none,0.46429,0.09632,0.99187,1,28,7,0,7,1,2,5,10,9,5,1,4,1,3,2,0,0,1,1,3,1,1,0,0,0,1,0,0
Camptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,TP53,3-(5'-hydroxymethyl-2'-furyl)-1-benzylindazole promotes the reaction [Camptothecin results in increased expression of TP53 protein],increases^expression|increases^reaction,348.357,348.357,348.111008,1.1838,-2.741,6,1,239.85,0.26558,79.73,5.3292,none,none,none,none,0.46154,0.099683,0.97768,1,26,6,0,6,1,1,5,10,7,5,1,4,1,3,2,0,0,1,1,3,1,1,0,0,0,1,0,0
arzanol,CCC1=C(C(=C(C(=O)O1)CC2=C(C(=C(C(=C2O)CC=C(C)C)O)C(=O)C)O)O)C,IL6,arzanol inhibits the reaction [Lipopolysaccharides results in increased secretion of IL6 protein],decreases^reaction|increases^secretion,402.441,402.441,402.167855,3.5815,-3.814,7,4,303.79,0.29125,124.29,0.77614,none,none,none,none,0.48276,0.49237,0.8988,1,29,7,0,7,0,6,2,6,13,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,TP53,glimepiride results in increased expression of TP53 mRNA,increases^expression,490.623,490.623,490.224991,3.5186,-4.409,9,3,367.55,0.28739,133.06,9.6574,none,none,none,none,0.64706,0.5974,0.79383,1,34,10,0,10,0,6,3,6,14,3,2,1,1,2,1,1,1,1,0,1,0,4,0,0,0,0,0,0
NE-52-qq57,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C4=NN=C(O4)C5CCNCC5)C)C,RELA,NE-52-qq57 inhibits the reaction [IL33 protein results in increased expression of RELA protein],decreases^reaction|increases^expression,416.527,416.527,416.232459,3.5314,-6.167,7,1,332.56,0.23274,81.14,4.0278,none,none,none,none,0.54839,0.45564,0.90374,1,31,7,0,7,0,5,5,20,11,5,1,4,1,1,4,0,0,1,1,1,3,0,1,1,0,5,2,0
olmesartan,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,IL6,olmesartan results in decreased expression of IL6 protein,decreases^expression,446.509,446.509,446.206639,3.2081,-4.739,9,3,345.27,0.30116,129.81,-3.2961,none,none,none,none,0.45455,0.5334,0.90925,1,33,9,0,9,0,8,4,22,9,4,2,2,0,0,4,0,0,2,0,0,2,0,0,0,0,6,0,1
monascin,CCCCCC(=O)C1C2CC3=C(COC(=C3)C=CC)C(=O)C2(OC1=O)C,IL6,monascin inhibits the reaction [Ovalbumin results in increased expression of IL6 mRNA],decreases^reaction|increases^expression,358.432,358.432,358.178025,2.9325,-3.609,5,0,275.13,0.21488,69.67,-16.772,none,none,none,high,0.57692,0.36754,0.94592,1,26,5,0,5,3,6,3,0,14,3,1,2,1,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0
