GeneSymbol,ChemicalName,Organism,Interaction,InteractionActions,PubMedIDs,ChemicalID,SMILES
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [mancozeb results in increased activity of MAPK1 protein],decreases^reaction|increases^activity,21375462,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Methylmercury Compounds results in increased activity of MAPK1 protein],decreases^reaction|increases^activity,15712295,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [N-(2-cyclohexyloxy-4-nitrophenyl)methanesulfonamide results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,16376453,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [naringin results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,18296682,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Neomycin results in increased phosphorylation of and results in increased activity of MAPK1 protein],decreases^reaction|increases^activity|increases^phosphorylation,17537980,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [[Nicotinic Acids results in increased activity of HCAR2 protein] which results in increased phosphorylation of and results in increased activity of MAPK1 protein],decreases^reaction|increases^activity|increases^phosphorylation,16674924,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [nimesulide results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,16376453,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Nocodazole results in increased phosphorylation of and results in increased activity of MAPK1 protein],decreases^reaction|increases^activity|increases^phosphorylation,15907805,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [ochratoxin A results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,22230261,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [o,p'-DDT results in increased phosphorylation of MAPK1 protein]",decreases^reaction|increases^phosphorylation,20678559,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
